english,korean,use
tench,물고기,0
goldfish,금붕어,1
great white shark,상어,1
tiger shark,상어,1
hammerhead shark,상어,1
electric ray,가오리,1
stingray,가오리,1
cock,닭,1
hen,닭,1
ostrich,타조,1
brambling,새,0
goldfinch,새,0
house finch,새,0
junco,새,0
indigo bunting,새,0
American robin,새,0
bulbul,새,0
jay,새,0
magpie,까치,1
chickadee,새,0
American dipper,새,0
kite,새,0
bald eagle,독수리,1
vulture,독수리,1
great grey owl,올빼미,1
fire salamander,도롱뇽,0
smooth newt,도룡뇽,0
newt,도룡뇽,0
spotted salamander,도룡뇽,0
axolotl,도룡뇽,0
American bullfrog,개구리,1
tree frog,개구리,1
tailed frog,개구리,1
loggerhead sea turtle,거북이,1
leatherback sea turtle,거북이,1
mud turtle,거북이,1
terrapin,거북이,1
box turtle,거북이,1
banded gecko,도마뱀,1
green iguana,이구아나,0
Carolina anole,도마뱀,1
desert grassland whiptail lizard,도마뱀,1
agama,도마뱀,1
frilled-necked lizard,도마뱀,1
alligator lizard,도마뱀,1
Gila monster,도마뱀,1
European green lizard,도마뱀,1
chameleon,카멜레온,1
Komodo dragon,도마뱀,1
Nile crocodile,악어,1
American alligator,악어,1
triceratops,,0
worm snake,뱀,1
ring-necked snake,뱀,1
eastern hog-nosed snake,뱀,1
smooth green snake,뱀,1
kingsnake,뱀,1
garter snake,뱀,1
water snake,뱀,1
vine snake,뱀,1
night snake,뱀,1
boa constrictor,뱀,1
African rock python,뱀,1
Indian cobra,뱀,1
green mamba,뱀,1
sea snake,뱀,1
Saharan horned viper,뱀,1
eastern diamondback rattlesnake,뱀,1
sidewinder,뱀,1
trilobite,,0
harvestman,,0
scorpion,전갈,1
yellow garden spider,거미,1
barn spider,거미,1
European garden spider,거미,1
southern black widow,거미,1
tarantula,거미,1
wolf spider,거미,1
tick,,0
centipede,지네,0
black grouse,새,0
ptarmigan,새,0
ruffed grouse,새,0
prairie grouse,새,0
peacock,공작,1
quail,새,0
partridge,새,0
grey parrot,앵무새,1
macaw,앵무새,1
sulphur-crested cockatoo,앵무새,1
lorikeet,앵무새,1
coucal,뻐꾸기,0
bee eater,새,0
hornbill,새,0
hummingbird,새,0
jacamar,새,0
toucan,새,0
duck,오리,1
red-breasted merganser,오리,1
goose,거위,1
black swan,백조,1
tusker,코끼리,1
echidna,가시두더지,0
platypus,오리너구리,1
wallaby,캥거루,1
koala,코알라,1
wombat,웜뱃,0
jellyfish,해파리,1
sea anemone,말미잘,1
brain coral,산호초,0
flatworm,,0
nematode,,0
conch,소라,0
snail,달팽이,1
slug,달팽이,1
sea slug,달팽이,1
chiton,조개,0
chambered nautilus,조개,0
Dungeness crab,게,1
rock crab,게,0
fiddler crab,게,0
red king crab,게,0
American lobster,랍스터,0
spiny lobster,랍스터,0
crayfish,가재,0
hermit crab,소라게,0
isopod,,0
white stork,새,0
black stork,새,0
spoonbill,새,0
